"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Anaeroplasma",7.63071025124877e-07,4.09124708370794e-06,1.32340777502068e-06,1.55148606506933e-06,2.51720298473149e-06,7.08168905365619e-07,1.9363258604064e-06,1.5980024968789e-06,5.01870863050594e-06,9.02639210859705e-06,5.71881065513551e-06,2.02704976285545e-06,0,1.47899439410989e-05,0.000397957496072108,6.15098074312459e-07,0,9.00315929044192e-05,8.11651418442019e-07,3.48578410099014e-07,7.14689513861046e-07,4.01543712494702e-06,7.09137805305165e-06,5.1196053580652e-06,0,0,1.02353202478176e-06,8.67830311403551e-07,0,0
"g_Anaerorhabdus",1.52614205024975e-06,4.29580943789333e-05,4.63192721257237e-06,1.81006707591421e-05,5.53784656640927e-05,8.49802686438742e-06,7.35803826954431e-06,1.63795255930087e-05,3.62462289980985e-05,4.35390678179387e-05,6.13819010317878e-05,2.83786966799763e-05,6.74994751915804e-07,3.63481673128702e-05,0.000131791118829075,1.23019614862492e-06,0,1.36411504400635e-05,2.43495425532606e-06,3.27663705493073e-05,7.14689513861046e-07,4.28313293327682e-05,4.64879227922275e-05,6.42794894957075e-05,4.55786436707216e-06,5.12061611253066e-06,6.14119214869054e-06,1.7356606228071e-06,7.2846476051721e-06,7.36407527925954e-06
"g_Anaerosacchariphilus",0,1.53421765639048e-05,5.29363110008271e-06,9.30891639041595e-06,2.6011097508892e-05,9.91436467511866e-06,1.9363258604064e-06,2.39700374531835e-06,3.90344004594907e-06,9.02639210859705e-06,1.44876536596766e-05,6.89196919370852e-06,1.75498635498109e-05,0.000227865407499304,5.03907219052344e-05,6.15098074312459e-07,0,1.36411504400635e-05,4.58583051419741e-05,2.68405375776241e-05,6.57514352752162e-05,4.14928502911192e-05,3.95278665549731e-05,0.000477829833419419,8.4320490790835e-05,0.000114848104238188,1.53529803717264e-05,7.7236897714916e-05,1.52315359017235e-05,4.60254704953721e-06
"g_Anaerosalibacter",3.81535512562438e-06,1.12509294801968e-05,4.63192721257237e-06,9.82607841210573e-06,1.17469472620803e-05,1.77042226341405e-06,2.98194182502585e-05,3.11610486891386e-05,4.01496690440475e-05,5.68131738599932e-05,5.75693605950308e-05,2.91895165851185e-05,1.41748897902319e-05,0.000225358637339795,6.84796989994211e-05,9.22647111468688e-06,0,4.91081415842286e-05,5.51922964540573e-05,5.29839183350501e-05,4.93135764564122e-05,0.00015459432931046,0.000139332446560885,0.000284422519892511,0.000276510438269045,0.000303579383814318,5.62942613629967e-05,0.00055975055085529,5.89394215327561e-05,2.85357917071307e-05
"g_Anaerosolibacter",8.39378127637364e-06,2.35246707313206e-05,1.32340777502068e-06,5.68878223858753e-06,6.7125412926173e-06,3.8949289795109e-06,1.00688944741133e-05,1.19850187265918e-05,1.89595659374669e-05,1.85837484588763e-05,2.97378154067047e-05,7.7027890988507e-06,5.39995801532643e-06,0.000168204277703006,6.33114198296535e-05,2.21435306752485e-05,0,0.000114585663696534,4.4640828014311e-05,1.91718125554458e-05,2.78728910405808e-05,6.13469560755795e-05,7.03884932673275e-05,0.000167809286736582,1.13946609176804e-05,1.60933649250964e-05,3.88942169417068e-05,2.08279274736852e-05,0.000257611628946541,9.66534880402815e-05
"g_Anaerosphaera",3.81535512562438e-06,6.13687062556191e-06,1.32340777502068e-06,2.58581010844888e-06,1.25860149236574e-06,1.41633781073124e-06,9.2943641299507e-06,4.7940074906367e-06,6.13397721506282e-06,1.22121775586901e-05,9.53135109189252e-06,2.83786966799763e-06,2.69997900766322e-06,3.58468132809686e-05,2.45493260563963e-05,1.23019614862492e-06,0,7.09339822883303e-05,6.89903705675716e-06,1.98689693756438e-05,1.42937902772209e-06,5.80007584714569e-06,9.06120529001044e-06,4.26633779838767e-05,2.27893218353608e-06,1.46303317500876e-06,1.02353202478176e-06,0,6.62240691379282e-07,1.84101881981489e-06
"g_Anaerospora",2.51813438291209e-05,8.18249416741588e-06,6.61703887510339e-07,6.72310628196708e-05,1.72008870623318e-05,1.6641969276092e-05,1.43288113670073e-05,1.79775280898876e-05,3.01122517830356e-05,1.53979630087832e-05,2.32564966642177e-05,9.72983886170615e-06,3.30747428438744e-05,4.23644156956901e-05,1.16286281319772e-05,2.46039229724984e-06,0,4.36516814082032e-05,2.43495425532606e-06,6.97156820198027e-06,4.28813708316627e-06,3.34619760412252e-06,4.33361992130934e-06,5.85910390978573e-05,1.21543049788591e-05,6.14473933503679e-05,1.02353202478176e-06,4.33915155701775e-06,3.97344414827569e-06,0
"g_Anaerosporobacter",1.52614205024975e-06,3.68212237533714e-05,5.95533498759305e-06,9.30891639041595e-06,4.95049920330526e-05,2.83267562146247e-06,1.00688944741133e-05,1.83770287141074e-05,1.84019316451885e-05,1.64598914921476e-05,2.78315451883262e-05,1.13514786719905e-05,3.37497375957902e-06,0.000637220974547008,0.000271334656412801,6.76607881743705e-06,0,0.00013095504422461,0.000106732161525125,0.000207404154008913,0.000135791007633599,0.000294242309322507,0.000288907994753956,0.000872039445990439,4.02611352424708e-05,3.0723696675184e-05,2.45647685947622e-05,3.03740608991243e-05,3.11253124948262e-05,2.30127352476861e-05
"g_Anaerosporomusa",2.4418272803996e-05,5.11405885463492e-06,3.97022332506203e-06,4.44759338653207e-05,2.3074360693372e-05,1.27470402965811e-05,2.47849710132019e-05,2.23720349563046e-05,3.40156918289847e-05,1.85837484588763e-05,2.9356561363029e-05,1.74326279605569e-05,1.82248583017267e-05,1.07791116858857e-05,2.58413958488382e-06,3.69058844587475e-06,0,8.18469026403811e-06,1.62330283688404e-06,1.08059307130694e-05,2.14406854158314e-06,1.47232694581391e-05,1.22129288691445e-05,4.20945329440916e-05,1.29139490400378e-05,3.58443127877146e-05,0,3.73167033903527e-05,1.32448138275856e-06,0
"g_Anaerostipes",1.8313704602997e-05,5.52318356300572e-05,1.19106699751861e-05,4.03386376918025e-05,6.41886761106529e-05,4.78014011121793e-05,2.98194182502585e-05,7.15106117353308e-05,5.74363321046791e-05,8.38923501857844e-05,8.69259219580598e-05,7.33792014153672e-05,1.55248792940635e-05,0.000319863872353258,9.9489374018027e-05,1.16868634119367e-05,0,0.00010094451325647,0.000400549975001136,0.000373676055626143,0.000176528309923678,0.000756240658531689,0.000758908773492324,0.000879434431507644,0.000502124724439117,0.000690551658604135,0.000737966589867647,0.000900807863236886,0.000256287147563782,0.000618582323457802
"g_Anaerotalea",0,2.04562354185397e-06,1.98511166253102e-06,6.72310628196708e-06,1.25860149236574e-05,5.31126679024214e-06,4.25991689289407e-06,9.98751560549313e-06,1.28255887224041e-05,7.43349938355052e-06,1.86814481401093e-05,1.05406587668483e-05,9.44992652682125e-06,0.000184247606723859,5.16827916976763e-05,3.69058844587475e-06,0,0.00010094451325647,3.57126624114488e-05,0.000176380675510101,3.50197861791912e-05,7.38394271309702e-05,6.99945278199357e-05,0.000220711875436589,7.59644061178694e-07,7.3151658750438e-06,1.02353202478176e-06,6.94264249122841e-06,6.62240691379282e-07,3.68203763962977e-06
"g_Anaerotardibacter",0,0,0,5.17162021689775e-07,8.39067661577162e-07,0,1.16179551624384e-06,2.79650436953808e-06,5.01870863050594e-06,3.18578545009308e-06,6.48131874248691e-06,2.02704976285545e-06,0,2.25609314355746e-06,1.29206979244191e-06,6.76607881743705e-06,0,3.54669911441651e-05,0,0,7.14689513861046e-07,2.23079840274834e-07,0,1.70653511935507e-06,0,0,0,0,0,0
"g_Anaerotignum",1.98398466532468e-05,5.83002709428381e-05,1.91894127377998e-05,0.000108086862533163,7.09012174032702e-05,3.39921074575497e-05,9.2943641299507e-06,2.4769038701623e-05,1.89595659374669e-05,3.87603896427991e-05,3.39316098871374e-05,2.18921374388388e-05,8.77493177490545e-06,0.00026596831392383,8.91528156784917e-05,4.92078459449967e-06,0,0.000196432566336915,0.000455336445745973,0.00058665746419664,0.000363062273041411,0.000261895732482656,0.000273280698674083,0.000554055068750612,0.000857638145070746,0.00304457203719323,0.00113816761155731,0.00103358590088163,0.0104799589410771,0.00237307325874139
"g_Anaerotruncus",5.11257586833667e-05,4.80721532335683e-05,7.27874276261373e-06,3.6718503539974e-05,0.000229065471610565,2.90349251199904e-05,3.79519868639654e-05,6.3920099875156e-05,5.74363321046791e-05,9.76974204695211e-05,9.60760190062766e-05,4.74329644508175e-05,4.72496326341063e-06,0.000379023648117654,0.000143419746961052,5.41286305394964e-05,0,0.000346485221177613,0.000146908906738005,0.000131414060607328,0.000127214733467266,8.76703772280099e-05,9.87540054795341e-05,0.000348133164348433,0.000184593506866423,0.000310894549689362,1.94471084708534e-05,0.000558882720543887,3.0463071803447e-05,1.38076411486116e-05
"g_Anaerovibrio",4.57842615074926e-06,8.18249416741588e-06,6.61703887510339e-07,1.03432404337955e-05,6.29300746182871e-06,4.95718233755933e-06,6.97077309746303e-06,1.71785268414482e-05,2.23053716911375e-05,1.85837484588763e-05,2.24939885768663e-05,1.98650876759834e-05,2.63247953247164e-05,4.33671237594935e-05,2.19651864715124e-05,1.84529422293738e-06,0,3.27387610561524e-05,1.50155512411773e-05,3.31149489594063e-05,3.57344756930523e-06,1.51694291386887e-05,1.10310325269692e-05,3.64060825462414e-05,1.51928812235739e-06,8.77819905005256e-06,4.09412809912703e-06,2.60349093421065e-06,3.97344414827569e-06,9.20509409907443e-07
"g_Anaerovirgula",3.81535512562438e-06,3.06843531278095e-06,1.98511166253102e-06,5.68878223858753e-06,7.55160895419446e-06,2.47859116877967e-06,4.64718206497535e-06,5.99250936329588e-06,3.90344004594907e-06,1.22121775586901e-05,2.82127992320019e-05,7.7027890988507e-06,3.37497375957902e-06,0.000147398085379088,2.45493260563963e-05,1.84529422293738e-06,0,2.45540707921143e-05,4.3017525177427e-05,4.9846712644159e-05,8.07599150662982e-05,0.000171548397171348,0.000174526693194549,0.000233226466311859,2.27893218353608e-06,1.68248815126007e-05,2.04706404956351e-06,6.07481217982485e-06,6.62240691379282e-07,2.76152822972233e-06
"g_Anaerovorax",2.59444148542458e-05,2.45474825022476e-05,7.27874276261373e-06,2.68924251278683e-05,3.64994432786065e-05,3.61166141736466e-05,2.94321530781772e-05,2.0374531835206e-05,3.40156918289847e-05,6.15918520351328e-05,4.88005175904897e-05,2.67570568696919e-05,1.41748897902319e-05,0.000302817835268602,0.000125330769866865,2.39888248981859e-05,0.000115456775869534,0.000294648849505372,0.000207376937411936,0.000350321302149509,0.000393793922137436,0.000467352265375778,0.00045791917168502,0.00104610602816466,0.00035475377657045,9.14395734380475e-05,0.000239506493798931,0.000116289261728076,0.000131785897584477,0.00032401931228742
"g_Anaplasma",3.43381961306194e-05,1.53421765639048e-05,2.64681555004136e-06,1.44805366073137e-05,2.43329621857377e-05,8.14394241170462e-06,1.74269327436576e-05,1.67790262172285e-05,1.72866630606316e-05,1.64598914921476e-05,2.02064643148121e-05,2.14867274862678e-05,6.74994751915804e-07,0,1.29206979244191e-06,1.84529422293738e-06,0,2.7282300880127e-06,4.05825709221009e-07,0,7.14689513861046e-07,0,0,0,0,0,3.07059607434527e-06,0,6.62240691379282e-07,0
"g_Anatilimnocola",0.00114231732461194,0.00121203194854848,0.000142266335814723,0.000492338244648666,0.00104044390035568,0.000593445542696389,0.00122801786066974,0.00179176029962547,0.00187643939351694,0.00138422377806544,0.00185670719270066,0.00109014736246366,0.00114951606251261,9.87667442846267e-05,6.20193500372116e-05,0.00224326267701754,8.65925819021504e-05,0.000630221150330934,1.86679826241664e-05,8.36588184237633e-06,2.85875805544418e-05,0.000185156267428113,0.000219044788749818,1.53588160741956e-05,3.19050505695052e-05,2.92606635001752e-05,1.43294483469446e-05,5.2069818684213e-05,1.25825731362064e-05,1.74896787882414e-05
"g_Ancrocorticia",7.63071025124877e-07,1.02281177092698e-06,0,5.17162021689775e-07,1.25860149236574e-06,4.60309788487652e-06,5.11190027147289e-05,7.7103620474407e-05,4.9629452012781e-05,5.99989593100863e-05,6.63382035995719e-05,7.29737914627961e-05,6.74994751915804e-07,2.50677015950829e-06,0,0,0,2.7282300880127e-06,4.05825709221009e-07,0,0,2.23079840274834e-07,2.62643631594506e-07,0,7.59644061178694e-07,0,2.04706404956351e-06,0,6.62240691379282e-07,0
