"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Tetrahymena",0.000549148819330038,0.000716589036187746,0,0.000530102234002272,0.000241038531731001,0.000311662407280434,0.00148692810457516,0.00207333777441786,0.00217616070109793,0.00260054860888461,0.00278551532033426,0.00169811476288218,0.0014913357353077,7.52898659840386e-05,0,9.80094285070224e-06,0,0.000106917566556185,0,0,0,0.000274940253368018,0,0.000341763499658237,0.000255623721881391,0.00262252089821341,0,0.000424448217317487,0.00167954316425932,0
"g_Tetraodon",0,0,0,0,0,0,0,0,0,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671817265703729,0.0036607687614399
"g_Tetrapisispora",0,0,0,0,3.44340759615716e-05,0.000124664962912174,0.000531045751633987,0.000583827965359541,0.000541578455024371,0.000612732000997471,0.000526695879283476,0.000478109981782361,0,0,0,7.84075428056179e-05,0,0,0,0,0,4.22985005181566e-05,0,0,0,0,0,0,0.000335908632851864,0
"g_Tetrapyrgos",5.49148819330038e-05,0,0,0,0.000103302227884715,0,9.80392156862745e-05,0.00016466942612705,0.000187090739008419,0.000142495814185458,0.000157465778342483,0.000131892408767548,0,0,0,0,0,0,0,0,0,0.00012689550155447,0,0,0,0,0,0.000424448217317487,0,0
"g_Tetraselmis",0,0.000143317807237549,0,7.57288905717531e-05,0,0,0.000147058823529412,7.48497391486591e-05,5.90812860026587e-05,1.42495814185458e-05,5.42985442560285e-05,5.77029288358022e-05,0,0,0,8.82084856563201e-05,0,0,0,0,0,0,0,0,0,0,0.000945179584120983,0,0,0
"g_Tetraspora",0,0,0,7.57288905717531e-05,0,0,4.08496732026144e-05,7.48497391486591e-06,9.84688100044311e-06,0,5.42985442560285e-06,3.2973102191887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000255623721881391,0,0,0,0,0
"g_Tetrasporopsis",0,0,0,0,0,0,8.16993464052288e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tetrastrum",0,0,0,0,0,0,3.26797385620915e-05,7.48497391486591e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tetratrichomonas",0,0,0,0,0,0,8.16993464052288e-06,7.48497391486591e-06,9.84688100044311e-06,2.84991628370917e-05,2.17194177024114e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Teunia",0,0,0,0,0,0,8.16993464052288e-06,1.49699478297318e-05,9.84688100044311e-06,0,1.08597088512057e-05,8.24327554797174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thalassionema",0.000109829763866008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thalassiosira",0.00252608456891818,0.00501612325331422,0.00291375291375291,0.00340780007572889,0.00340897352019559,0.00324128903571651,0.0307271241830065,0.0263021983368388,0.0451381025060312,0.039107976203199,0.0434551249680996,0.0259828045272069,0.00171569597867258,0.00203282638156904,0.000412541254125413,0.000705667885250561,0,0.00192451619801133,7.24515178592992e-05,0.000741977369690224,0,0.000232641752849861,1.52244077705377e-05,0.00136705399863295,0.00127811860940695,0.0013112604491067,0.00661625708884688,0.00424448217317487,0.00335908632851864,0.00183038438071995
"g_Thamnidium",0,0,0,7.57288905717531e-05,0,0,0.00011437908496732,0.000202094295701379,8.8621929003988e-05,0.000142495814185458,0.000146606069491277,0.000181352062055378,1.31976613744045e-05,0.000903478391808463,0,9.80094285070224e-06,0,0.000641505399337111,0,0,0,0,0,0.000170881749829118,0,0,0,0,0,0
"g_Thamnocephalis",5.49148819330038e-05,7.16589036187746e-05,0,7.57288905717531e-05,0,0.000249329925824347,0.0011437908496732,0.00137723520033533,0.00126040076805672,0.00126108795554131,0.0013248844798471,0.00114581530116807,0.00011877895236964,0.000225869597952116,0,0.000156815085611236,0,0.000320752699668556,0,6.18314474741854e-05,0,0.000909417761140368,0,0.000341763499658237,0,0.000327815112276676,0,0,0.000335908632851864,0
"g_Thaumatomonas",0,0,0,0,0,0,0,0,0,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thecamonas",0.000933552992861065,0.000644930132568972,0.00174825174825175,0.000833017796289284,0.00130849488653972,0.00168297699931434,0.00326797385620915,0.00424398020972897,0.00383043670917237,0.00462398917031812,0.00469682407814646,0.00431123311158922,0.000171569597867258,0.000150579731968077,0.000206270627062706,0.000254824514118258,0,0.000106917566556185,0,0,0,0.00107861176321299,1.52244077705377e-05,0,0.000255623721881391,0.000491722668415014,0.00283553875236295,0.000848896434634975,0.00134363453140746,0
"g_Thecaphora",0,0,0,0,0,0,0,7.48497391486591e-06,9.84688100044311e-06,0,0,0,0,0.000225869597952116,0,9.80094285070224e-06,0,0,0,0,0,0.000169194002072627,0.000350161378722368,0,0,0,0,0,0,0
"g_Theileria",0.000109829763866008,0,0.00174825174825175,7.57288905717531e-05,0.000137736303846286,0.000124664962912174,0.000367647058823529,0.000726042469741993,0.000748362956033676,0.000569983256741833,0.000662442239923548,0.000634732217193824,0.000145174275118449,0.000150579731968077,0,3.9203771402809e-05,0,0.000106917566556185,0,0,0,0.00325698453989806,0,0.000170881749829118,0,0.000163907556138338,0,0,0.000671817265703729,0.0012202562538133
"g_Thelephora",5.49148819330038e-05,7.16589036187746e-05,0,0,0,6.23324814560868e-05,0.000367647058823529,0.000538918121870345,0.000344640835015509,0.000406113070428556,0.000450677917325037,0.000412163777398587,9.23836296208312e-05,7.52898659840386e-05,0,9.80094285070224e-06,0,0,0,0,0,0.000105746251295392,0,0.000512645249487355,0,0,0,0,0.00100772589855559,0
"g_Thelonectria",0.000384404173531027,0.000859906843425296,0,0.000908746686861037,3.44340759615716e-05,0.000124664962912174,9.80392156862745e-05,5.23948174040613e-05,5.90812860026587e-05,8.5497488511275e-05,8.14478163840427e-05,6.59462043837739e-05,0.000395929841232134,0,0,9.80094285070224e-05,0,0,0,6.18314474741854e-05,0.000494736552785642,0.000444134255440645,0.000426283417575056,0.000170881749829118,0,0,0,0,0,0
"g_Thermochaetoides",5.49148819330038e-05,0,0,0,0,0.000124664962912174,8.16993464052288e-05,0.000112274608722989,9.84688100044311e-05,7.83726978020021e-05,9.77373796608513e-05,0.000148378959863491,0,7.52898659840386e-05,0,0,0,0,0,0,0,8.45970010363133e-05,0,0,0,0.000163907556138338,0,0,0,0
"g_Thermomyces",0,0,0,0,0,0,0,0,0,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thermothelomyces",0,0,0,7.57288905717531e-05,6.88681519231431e-05,6.23324814560868e-05,1.63398692810458e-05,5.23948174040613e-05,6.89281670031018e-05,7.12479070927292e-05,1.62895632768085e-05,0,0.000211162581990471,0,0,0,0,0.00021383513311237,0,0.000927471712112781,0,0.000465283505699723,0.000685098349674198,0,0,0,0,0,0,0
"g_Thermothielavioides",5.49148819330038e-05,0,0,0,0,6.23324814560868e-05,8.16993464052288e-06,2.99398956594636e-05,4.92344050022156e-05,2.13743721278187e-05,2.17194177024114e-05,4.94596532878305e-05,5.27906454976178e-05,0,0,4.90047142535112e-05,0,0,2.41505059530997e-05,0,5.49707280872935e-05,0,1.52244077705377e-05,0,0,0.000327815112276676,0,0,0,0
"g_Thielaviopsis",0,0.000214976710856324,0,0.000151457781143506,0,0,5.71895424836601e-05,8.98196869783909e-05,8.8621929003988e-05,7.12479070927292e-05,0.000108597088512057,6.59462043837739e-05,0.000184767259241662,0,0,0,0,0,1.20752529765499e-05,0,0.000329824368523761,0,1.52244077705377e-05,0,0,0,0,0,0,0
"g_Thoracosphaera",0,0,0.00116550116550117,0,6.88681519231431e-05,0,1.63398692810458e-05,7.48497391486591e-06,0,5.69983256741833e-05,2.17194177024114e-05,7.41894799317457e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thorea",5.49148819330038e-05,0,0,0,0,0,0.000130718954248366,0.000134729530467586,0.000118162572005317,0.000106871860639094,7.0588107532837e-05,0.00014013568431552,0,7.52898659840386e-05,0,0,0,0,0,0,0,0,0,0.000170881749829118,0,0.000163907556138338,0,0,0,0
"g_Thozetella",0.000219659527732015,0,0,0.000908746686861037,6.88681519231431e-05,0.000124664962912174,7.35294117647059e-05,0.000112274608722989,6.89281670031018e-05,3.56239535463646e-05,0.000124886651788866,4.94596532878305e-05,0,0,0,2.94028285521067e-05,0,0.000106917566556185,0.000217354553577897,6.18314474741854e-05,2.74853640436468e-05,0,0,0,0,0.000327815112276676,0,0,0,0
"g_Thraustochytrium",5.49148819330038e-05,7.16589036187746e-05,0,0,0,0,4.08496732026144e-05,2.24549217445977e-05,2.95406430013293e-05,1.42495814185458e-05,3.25791265536171e-05,8.24327554797174e-06,7.91859682464267e-05,0,0,0,0,0,0,0,0,0.00012689550155447,0,0,0,0,0,0,0,0
"g_Thraustotheca",0.000329489291598023,0,0.000582750582750583,0.0011359333585763,0.000413208911538859,0.000685657296016954,0.000498366013071895,0.000568858017529809,0.000462803407020826,0.000641231163834562,0.000553845151411491,0.000577029288358022,9.23836296208312e-05,0.00135521758771269,0,0.000205819799864747,0,0,0,0,0,0.000274940253368018,6.08976310821509e-05,0,0.00153374233128834,0.000491722668415014,0,0.00254668930390492,0.00100772589855559,0
"g_Thuretia",0,0,0,0,0,0.000124664962912174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Thyridium",5.49148819330038e-05,0,0,0.000454373343430519,0.000137736303846286,0,4.08496732026144e-05,0.000119759582637855,8.8621929003988e-05,0.000178119767731823,0.000173755341619291,0.000115405857671604,0.000659883068720223,0,0,9.80094285070224e-06,0,0,0,0.000185494342422556,0.000219882912349174,0.000148044751813548,4.56732233116132e-05,0,0,0.000163907556138338,0.00283553875236295,0,0,0.00061012812690665
"g_Thyronectria",0.000219659527732015,0,0,0,0,0.000124664962912174,0,0,0,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tieghemostelium",0.000109829763866008,7.16589036187746e-05,0,0,0.000172170379807858,6.23324814560868e-05,0.00190359477124183,0.00249998128756521,0.00198906996208951,0.00262192298101243,0.00241085536496767,0.0018959533760335,6.59883068720223e-05,0.00383978316518597,0.000825082508250825,0.000215620742715449,0,0.000320752699668556,0,0,0,0.000296089503627096,0,0.00136705399863295,0,0.000491722668415014,0,0.00127334465195246,0.000335908632851864,0
"g_Tilletia",0.000109829763866008,0,0,0.000302915562287012,0.000241038531731001,6.23324814560868e-05,0.000669934640522876,0.000688617600167663,0.00072866919403279,0.000769477396601475,0.00081990801826603,0.000651218768289768,0.000171569597867258,0,0.000412541254125413,0.000225421685566151,0,0,0,6.18314474741854e-05,0,0.00012689550155447,0,0,0,0,0,0,0,0
"g_Tilletiaria",0,0,0,0,0,6.23324814560868e-05,0.000343137254901961,0.000336823826168966,0.000413569002018611,0.000406113070428556,0.000347510683238582,0.000321487746370898,0.00011877895236964,0.000225869597952116,0,1.96018857014045e-05,0,0,0,0,0,8.45970010363133e-05,0,0,0,0,0,0,0,0
"g_Tilletiopsis",5.49148819330038e-05,0,0,0,0,0,0.000343137254901961,0.000434128487062223,0.000305253311013736,0.000441737023974921,0.000466967480601845,0.000428650328494531,5.27906454976178e-05,0,0,5.88056571042134e-05,0,0.000427670266224741,0,0,0,0,0,0,0,0,0,0,0,0
"g_Timspurckia",0,0,0,7.57288905717531e-05,0,0,0,0,0,2.13743721278187e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163907556138338,0,0.000848896434634975,0,0
"g_Tintinnopsis",0,0,0,0,0,0,0,7.48497391486591e-06,0,0,2.17194177024114e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tirmania",0,7.16589036187746e-05,0,0,0,0,0.000106209150326797,0.000149699478297318,9.84688100044311e-05,0.000113996651348367,0.000162895632768085,0.000107162582123633,0,0.000225869597952116,0,0,0,0,0,0,0,4.22985005181566e-05,0,0,0,0,0,0,0,0
"g_Titanophycus",0,0,0,0,0,0,8.16993464052288e-06,0,0,0,0,1.64865510959435e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tolypiocladia",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602318927872308,0.0270214521452145,0,0,0.00267293916390463,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tolypocladium",0.000439319055464031,0.000788247939806521,0.000582750582750583,0.000984475577432791,0.000137736303846286,6.23324814560868e-05,8.16993464052288e-05,3.74248695743295e-05,6.89281670031018e-05,5.69983256741833e-05,2.17194177024114e-05,4.12163777398587e-05,0.000778662021089863,0,0,0.000186217914163343,0.0106007067137809,0.000106917566556185,1.20752529765499e-05,0.000185494342422556,0.00109941456174587,0.00038068650466341,0.000563303087509896,0,0.000255623721881391,0,0,0,0,0
"g_Torenia",0,0,0,0,6.88681519231431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tortispora",0.000219659527732015,0,0,0.000227186671715259,6.88681519231431e-05,0.000311662407280434,0.000334967320261438,0.000643707756678468,0.000521884693023485,0.000584232838160379,0.000624433258944328,0.000601759115001937,1.31976613744045e-05,0.000150579731968077,0.000206270627062706,0.000382236771177387,0,0.00021383513311237,0,6.18314474741854e-05,0,8.45970010363133e-05,0,0.000170881749829118,0.000255623721881391,0.000163907556138338,0,0,0,0
"g_Torularia",0,0,0,0,0,0,8.16993464052288e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Torulaspora",0,0.000286635614475099,0.000582750582750583,0,0.000103302227884715,0,0.000155228758169935,0.000179639373956782,9.84688100044311e-05,0.00012112144205764,0.000179185196044894,4.12163777398587e-05,1.31976613744045e-05,0,0,0,0,0,0,0,8.24560921309403e-05,6.34477507772349e-05,0,0,0,0,0,0,0,0
"g_Tothia",0,7.16589036187746e-05,0,7.57288905717531e-05,0,0,0,1.49699478297318e-05,9.84688100044311e-06,7.12479070927292e-05,2.71492721280142e-05,8.24327554797174e-06,0,0,0,2.94028285521067e-05,0,0,0,0,0.000604678008960229,0,3.04488155410755e-05,0,0,0.000163907556138338,0,0,0,0
