"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Prymnesiovirus",0.0254620123203285,0.00236585596668875,0.0412844036697248,0.0134153158188932,0.0325325325325325,0.0187537810042347,0.157955865272938,0.253534401508011,0.204600484261501,0.179899497487437,0.147571035747021,0.173160173160173,0.00564971751412429,0.0149476831091181,0.0454545454545455,0.077319587628866,0,0,0.0341880341880342,0,0,0.000381970970206264,0.00279329608938547,0,0.00435413642960813,0.0163398692810458,0.0327868852459016,0.0130841121495327,0.0224719101123595,0.0269461077844311
"g_Pteropopoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381970970206264,0,0,0,0,0,0,0,0
"g_Ranavirus",0.0082135523613963,0.000567805432005299,0.00917431192660551,0.00503074343208496,0.004004004004004,0.0139140955837871,0.00232288037166086,0,0,0.00301507537688442,0.000916590284142988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479
"g_Raphidovirus",0,0,0,0.00167691447736165,0.0015015015015015,0.00120992135511192,0.0174216027874564,0.0056550424128181,0,0.00301507537688442,0.00916590284142988,0.00432900432900433,0,0.00149476831091181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989,0
"g_Rhadinovirus",0,0,0,0,0,0,0.0104529616724739,0.00377002827521206,0.00242130750605327,0.00402010050251256,0.00641613198900092,0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Rotavirus",0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Salmonpoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Suipoxvirus",0,0,0,0,0,0,0.00696864111498258,0.00659754948162111,0.00605326876513317,0.0120603015075377,0.00458295142071494,0.00974025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479
"g_Toursvirus",0.00862422997946612,0.000851708148007949,0,0.0122973728339855,0.00950950950950951,0.00786448880822747,0.00929152148664344,0.00471253534401508,0.00847457627118644,0.00201005025125628,0.00458295142071494,0.00432900432900433,0,0.00448430493273543,0,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Tupanvirus",0.0082135523613963,0.0026497586826914,0.00917431192660551,0.00223588596981554,0.01001001001001,0.0102843315184513,0.0220673635307782,0.0386427898209237,0.0690072639225182,0.0522613065326633,0.076993583868011,0.0292207792207792,0,0.00298953662182362,0,0,0,0,0,0,0.35,0,0,0,0.00290275761973875,0,0,0.00186915887850467,0.0112359550561798,0.0029940119760479
"g_Varicellovirus",0,0,0,0,0,0,0.00232288037166086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Vespertilionpoxvirus",0.00082135523613963,0,0,0.000558971492453885,0.001001001001001,0,0.00232288037166086,0.0056550424128181,0.00121065375302663,0.00603015075376884,0.00549954170485793,0.00432900432900433,0,0,0,0,0,0,0,0.0181818181818182,0,0.000763941940412529,0,0,0,0,0,0,0,0
