"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Candidatus Nitrosotenuis",0.000210069322876549,0.000479769710538941,0.000454545454545455,0.000487725573077548,0.000553988718775181,0.000254022015241321,0.0023304203079484,0.00225038493426507,0.00350379577876032,0.00217435275080906,0.00234333478281877,0.00213273115042027,0.000137475941710201,0.00342778793418647,0.00701754385964912,9.84348853233586e-05,0,0.000818330605564648,0,0,0,0.00364697301239971,0.00328872242269218,0,0.000747384155455904,0.00107488355428162,0,0.00585023400936037,0,0.00183654729109275
"g_Candidatus Nitrosothermus",0,0,0,0,0.000151087832393231,4.23370025402202e-05,0.000332917186849771,0.000296103280824352,0.000208559272545257,5.05663430420712e-05,9.66323621780934e-05,0.000376364320662401,0,0,0,0,0,0,0,0,0,8.10438447199935e-05,9.13534006303385e-05,0,0,0,0.00232558139534884,0.000390015600624025,0,0
"g_Candidatus Norongarragalina",0,0,0,0,0,0,0,0,4.17118545090515e-05,0,2.41580905445234e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Odinarchaeum",0.000210069322876549,0.000159923236846314,0,0,0.000100725221595488,8.46740050804403e-05,0.000332917186849771,2.96103280824352e-05,0.000125135563527154,0.000151699029126214,0.00014494854326714,0,0.000549903766840803,0,0,0,0,0,0,0,0,8.10438447199935e-05,9.13534006303385e-05,0,0,0,0,0,0,0
"g_Candidatus Parvarchaeum",0,0,0,0,0,0,8.32292967124428e-05,0,4.17118545090515e-05,0,0,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Prometheoarchaeum",0.000420138645753099,0.000159923236846314,0.000454545454545455,0.000162575191025849,0.000503626107977438,0.000169348010160881,0.000249687890137328,0.000207272296577046,0.000375406690581463,0.000303398058252427,0.00021742281490071,0.000564546480993602,0.000137475941710201,0.00159963436928702,0,0,0,0.00245499181669394,0,0,0,0.000567306913039955,0.000182706801260677,0.0060882800608828,0,0,0,0,0,0.00183654729109275
"g_Candidatus Syntrophoarchaeum",7.00231076255164e-05,0.000159923236846314,0.000454545454545455,8.12875955129247e-05,0.00040290088638195,0.000465707027942422,0.000332917186849771,0.000503375577401398,0.000333694836072412,0.000252831715210356,0.00028989708653428,0.000376364320662401,0,0.00297074954296161,0,0,0,0,0.000130958617077004,0,0.00103806228373702,0,0,0.0015220700152207,0,0,0,0,0,0
"g_Candidatus Terraquivivens",0,0,0,0,0,0,8.32292967124428e-05,0.000177661968494611,0.000125135563527154,0,2.41580905445234e-05,0.000125454773554134,0,0,0,0,0,0.000818330605564648,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Thalassarchaeum",0,0,0,0,5.03626107977438e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Tiddalikarchaeum",0,0,0,0,0,0,0,5.92206561648703e-05,0,0,9.66323621780934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Wolframiiraptor",0.000140046215251033,0,0,0,5.03626107977438e-05,0,0,0,0,0.000151699029126214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Cenarchaeum",0,0.000799616184231569,0,0,5.03626107977438e-05,4.23370025402202e-05,0.000166458593424886,0.000207272296577046,0.000166847418036206,0.00040453074433657,0.00014494854326714,0.000250909547108267,0,0.000228519195612431,0,0,0,0,0,0,0,0,0.000182706801260677,0,0,0,0,0,0,0
"g_Conexivisphaera",0,0,0,0,5.03626107977438e-05,0,8.32292967124428e-05,0,0,5.05663430420712e-05,0.000193264724356187,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
