"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K02276",0.000207,0.000211,0.000197,8.5e-05,0.000235,0.000155,0.000358,0.00031,0.000307,0.000281,0.00029,0.000302,0.000534,3.5e-05,4e-05,0.000527,0.000265,7.4e-05,9.5e-05,1.2e-05,0.000195,0.000147,0.000163,1e-06,8e-06,1.7e-05,0,6e-06,0,8e-06,"coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]"
"K02277",4.7e-05,3.8e-05,0,1e-05,4.8e-05,9e-06,3.7e-05,3.2e-05,1.7e-05,2.8e-05,2.4e-05,2.7e-05,4.3e-05,2e-06,2e-05,4e-05,0,9e-06,0,0,0,2.2e-05,1.3e-05,2e-06,8e-06,0,0,0,0,0,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1]"
"K02278",3.8e-05,0.000158,6.2e-05,3.3e-05,0.000104,5.4e-05,3e-05,2.7e-05,2.6e-05,1.9e-05,2.3e-05,1.9e-05,0,1.1e-05,0,0.00013,0,0,0,0,3e-06,7e-06,6e-06,0,0,0,0,0,5e-06,0,"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"
"K02279",5.7e-05,0.000317,7.3e-05,4.2e-05,0.000169,5.4e-05,0.000104,7.8e-05,7.8e-05,6.5e-05,6.3e-05,7e-05,3.1e-05,6.4e-05,1.1e-05,0.000329,0,0,5.4e-05,4e-06,0,7.2e-05,9.4e-05,0,0,2.2e-05,0,1.2e-05,5e-06,0,"cpaB, rcpC; pilus assembly protein CpaB"
"K02280",0.000229,0.000515,0.000155,9.1e-05,0.000318,0.000135,0.000107,9.6e-05,0.000109,7.7e-05,7.9e-05,8.3e-05,4.1e-05,2.3e-05,0,0.000381,0.000265,0,0,2e-06,0,6e-05,0.000108,0,8e-06,3.3e-05,0,2.4e-05,1e-05,8e-06,"cpaC, rcpA; pilus assembly protein CpaC"
"K02281",3e-06,6e-06,1e-05,1.1e-05,3.9e-05,3e-06,1.2e-05,9e-06,8e-06,1e-05,1.3e-05,1.4e-05,0,7e-06,0,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,"cpaD; pilus assembly protein CpaD"
"K02282",0.000116,0.000295,9.3e-05,4.6e-05,0.000135,0.000111,0.000171,0.000108,0.00015,9.9e-05,9.2e-05,0.000117,1.3e-05,1.1e-05,0,0.000113,0,4.3e-05,0,4e-06,0,3.6e-05,5.9e-05,0,0,6e-06,0,2.4e-05,1e-05,0,"cpaE, tadZ; pilus assembly protein CpaE"
"K02283",0.000297,0.001072,0.000187,0.000174,0.000435,3e-04,0.000702,0.000615,0.000628,0.000569,0.000499,0.000629,0.000178,0.000123,7.7e-05,0.000504,0.000133,0.00017,5.2e-05,0.000195,0.000103,0.000207,0.000344,6.2e-05,8e-06,0.000127,0,1.8e-05,1.9e-05,1.6e-05,"cpaF, tadA; pilus assembly protein CpaF"
"K02284",0,0,1e-05,3e-06,1.1e-05,3e-06,3e-06,2e-06,3e-06,4e-06,4e-06,1.1e-05,1.7e-05,0,0,2.6e-05,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,"cpcA; phycocyanin alpha chain"
"K02285",0,0,0,2e-06,5e-06,0,9e-06,6e-06,4e-06,4e-06,2e-06,7e-06,5.2e-05,0,0,4.4e-05,0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,"cpcB; phycocyanin beta chain"
"K02286",0,0,0,0,0,0,2e-06,0,0,1e-06,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cpcC; phycocyanin-associated rod linker protein"
"K02287",0,0,0,0,1e-06,0,0,0,0,0,0,0,6e-06,0,0,9e-06,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,"cpcD; phycocyanin-associated, rod"
"K02288",0,0,0,0,0,0,3e-06,0,0,4e-06,3e-06,2e-06,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]"
"K02289",0,0,0,0,0,1e-06,3e-06,0,1e-06,4e-06,4e-06,1e-06,0,0,0,3e-06,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,"cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]"
"K02290",0,0,0,3e-06,2e-06,1e-06,7e-06,4e-06,4e-06,1e-05,8e-06,1e-05,9.8e-05,0,0,8.5e-05,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,"cpcG; phycobilisome rod-core linker protein"
"K02291",0.00017,0.000192,0.000176,0.000143,0.000266,0.000161,0.000392,0.000359,0.000337,0.000295,0.000319,0.000366,0.000409,1.9e-05,3.7e-05,0.000674,0,2.2e-05,8.4e-05,4e-06,3.3e-05,1.9e-05,2.5e-05,1e-06,0,2.8e-05,0,6e-06,1.9e-05,0,"crtB; 15-cis-phytoene synthase [EC:2.5.1.32]"
"K02292",0,0,0,0,0,0,3e-06,0,1e-06,4e-06,1e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"crtO; beta-carotene ketolase (CrtO type)"
"K02293",4e-06,0,0,0,2.7e-05,1e-06,7e-06,9e-06,7e-06,1.1e-05,1e-05,1.5e-05,8.8e-05,6e-06,0,4.5e-05,0,9e-06,0,0,0,0,0,0,5.8e-05,2.8e-05,0,0,0,0,"PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]"
"K02294",0,1.7e-05,0,0,0,0,1.6e-05,4e-06,7e-06,9e-06,4e-06,1.6e-05,3.6e-05,0,0,4.1e-05,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,"crtR; beta-carotene hydroxylase [EC:1.14.13.-]"
"K02295",0,0,2.1e-05,3.7e-05,0,1e-06,5.7e-05,7.5e-05,6.5e-05,0.000133,0.000102,7.7e-05,0,0,0,1.1e-05,0,8.3e-05,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,"CRY; cryptochrome"
"K02296",0,0,0,0,0,0,3e-06,1e-06,2e-06,4e-06,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1"
"K02297",1.7e-05,2.3e-05,1e-05,5e-06,6.8e-05,1.3e-05,1.9e-05,1.4e-05,4e-06,1e-05,5e-06,4e-06,0,0,0,7.5e-05,0,0,9.3e-05,0,0,0,0,0,0,0,0,0,0,0,"cyoA; cytochrome o ubiquinol oxidase subunit II [EC:1.10.3.10]"
"K02298",5.7e-05,6.1e-05,2.1e-05,2e-05,0.000143,3.7e-05,2.4e-05,2.2e-05,1.7e-05,1.9e-05,1.5e-05,2.6e-05,0,0,2e-06,0.000143,0,0,3.7e-05,0,0,7e-06,2e-05,0,0,0,0,0,0,0,"cyoB; cytochrome o ubiquinol oxidase subunit I [EC:1.10.3.10]"
"K02299",1.4e-05,1.1e-05,4.1e-05,5e-06,3.4e-05,1.9e-05,1.9e-05,1.6e-05,1.2e-05,1.3e-05,6e-06,1.9e-05,0,1e-06,2e-06,3.6e-05,0,0,0,0,0,5e-06,9e-06,0,0,0,0,0,0,0,"cyoC; cytochrome o ubiquinol oxidase subunit III"
"K02300",1.4e-05,0,0,0,2.1e-05,8e-06,5e-06,2e-06,3e-06,8e-06,3e-06,3e-06,0,2e-06,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cyoD; cytochrome o ubiquinol oxidase subunit IV"
"K02301",0.000349,0.000308,0.000228,0.000194,0.000314,0.000155,0.000478,0.000424,0.000427,0.000374,0.000335,0.000404,0.000382,6.7e-05,0.000101,0.00063,0,6.5e-05,0.000168,9.7e-05,0.000175,4.6e-05,0.000108,0,7.5e-05,0.000338,0,1.8e-05,1e-05,8e-06,"-"
"K02302",0.000149,4e-05,5.2e-05,8.8e-05,0.000108,7.4e-05,0.000178,0.000175,0.000179,0.000136,0.000164,0.00018,0.000158,1e-06,2e-06,7.4e-05,0,3e-06,0,0,0,1.2e-05,8e-06,3e-06,0,0,0,0,2.9e-05,4.9e-05,"cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]"
"K02303",0.000115,2.1e-05,3.1e-05,4.1e-05,4.2e-05,0.000118,0.000134,0.000183,0.000128,0.000139,0.000164,0.000182,1.4e-05,0,0,5.9e-05,0,2.8e-05,2e-06,2e-06,0.000407,5.1e-05,5.3e-05,1.5e-05,8e-06,0.000127,8.4e-05,6e-06,6.7e-05,8e-06,"cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"K02304",1e-05,4.6e-05,0,7e-06,1.7e-05,1.2e-05,3.1e-05,3.4e-05,3e-05,3e-05,4.2e-05,2.4e-05,1.8e-05,0.000239,4e-05,1.4e-05,0,3.4e-05,2.4e-05,0.000318,1.3e-05,0.000104,0.000103,0.000326,8e-06,6.1e-05,0,1.8e-05,1.4e-05,2.4e-05,"MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]"
"K02305",6e-06,3.6e-05,0,8e-06,1.2e-05,1.6e-05,1.1e-05,1.1e-05,1.5e-05,6e-06,1.3e-05,1.3e-05,5e-06,0,0,4e-06,0,0,0,0,0,1e-05,8e-06,0,0,0,0,0,0,0,"norC; nitric oxide reductase subunit C"
"K02308",0,0,0,0,0,0,2e-06,5e-06,9e-06,1.3e-05,1.5e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K02309",0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0.000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K02313",0.001504,0.000988,0.001068,0.001256,0.001418,0.00136,0.001029,0.00095,0.000958,0.000843,0.000827,0.000964,0.00103,0.000424,0.000678,0.001821,0.000663,0.001131,0.000408,0.000617,0.000116,0.000243,0.000349,0.000289,0.000342,0.000338,0.000238,0.000237,0.000363,0.000392,"dnaA; chromosomal replication initiator protein"
"K02314",0.023878,0.009599,0.010232,0.025151,0.014985,0.024311,0.002842,0.002163,0.002469,0.002361,0.002027,0.002113,0.01021,0.002424,0.005614,0.01335,0.014055,0.006697,0.014037,0.006805,0.020689,0.005269,0.006218,0.003788,0.015362,0.013197,0.005287,0.009483,0.005979,0.018125,"dnaB; replicative DNA helicase [EC:3.6.4.12]"
"K02315",0.002603,0.00091,0.001047,0.00285,0.001293,0.003158,0.000199,0.00013,0.000147,0.000158,0.000143,0.000124,0.000431,0.000505,0.000304,0.001585,0,0.000586,0.00011,0.000351,0.000549,0.000544,0.000552,0.000645,0.000775,0.000304,7.7e-05,0.000225,0.000348,0.000457,"dnaC; DNA replication protein DnaC"
"K02316",0.003433,0.002959,0.002384,0.002479,0.003086,0.002448,0.001603,0.00142,0.001423,0.001357,0.001267,0.001512,0.001169,0.000987,0.003977,0.00202,0.001193,0.003467,0.021106,0.002142,0.002256,0.003519,0.003964,0.001598,0.004249,0.008929,0.001801,0.002343,0.00095,0.000947,"dnaG; DNA primase [EC:2.7.7.-]"
"K02317",9e-06,0,0,1.5e-05,2e-05,5e-06,6e-06,0,2e-06,2e-06,3e-06,3e-06,0,0,0,3e-06,0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,"dnaT; DNA replication protein DnaT"
"K02318",0,0,0,0,0,0,1.3e-05,2.7e-05,3.2e-05,4e-05,4e-05,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24]"
"K02319",0.001194,0.002271,0.001441,0.001375,0.001198,0.000635,0.000275,0.000235,0.000352,0.000254,0.000216,0.000216,0.000378,9.2e-05,2e-06,8.7e-05,0.000133,2.5e-05,0.000593,0.000308,2.3e-05,0.000108,0.000178,0.000235,0.000758,0.000526,0.00046,0.000844,0.000759,0.00062,"pol; DNA polymerase, archaea type [EC:2.7.7.7]"
"K02320",6e-06,4e-06,0,2.6e-05,1.7e-05,1.1e-05,9.7e-05,0.000129,0.000111,0.000161,0.000131,9.7e-05,0,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,1.7e-05,0,0,5e-06,0,"POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]"
"K02321",0,0,0,0,9e-06,0,9e-06,6e-06,4e-06,1e-05,5e-06,5e-06,0,0,0,1.7e-05,0,3.1e-05,0,0,0,0,0,2.7e-05,8e-06,0,0,0,0,0,"POLA2; DNA polymerase alpha subunit B"
"K02322",0.00016,2.3e-05,3.1e-05,3e-06,6e-05,7.8e-05,5e-06,2.6e-05,2e-05,1.7e-05,3e-05,1.3e-05,0,0,2.6e-05,0,0,0,0,0,0,5.5e-05,3.3e-05,0,1.7e-05,6e-06,1.5e-05,9.1e-05,0,2.4e-05,"polC; DNA polymerase II large subunit [EC:2.7.7.7]"
"K02323",1.4e-05,0,0,0,2e-06,7e-06,2e-06,1.1e-05,7e-06,1.4e-05,1.2e-05,4e-06,0,0,1.1e-05,0,0,0,0,0,0,0,0,0,0,6e-06,0,1.2e-05,0,4.1e-05,"polB; DNA polymerase II small subunit [EC:2.7.7.7]"
"K02324",0.000375,0,3.1e-05,0,0,3e-06,0.000119,0.000166,0.000175,0.000233,0.000227,0.000167,0.000591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4e-05,3.3e-05,1.6e-05,"POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]"
"K02325",0,0,0,0,0,0,1e-06,1e-06,1e-06,5e-06,4e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7]"
"K02326",0,0,0,0,0,0,0,1e-06,5e-06,1e-06,2e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]"
"K02327",0.000611,0.000262,0.000238,0.00016,0.000376,0.000139,0.00013,0.000184,0.000176,0.000272,0.00016,0.000172,6e-06,0.000117,2e-05,7.1e-05,0,4.9e-05,0.000177,0,0,0,2e-06,2.8e-05,1e-04,0.000172,1.5e-05,5.5e-05,1.9e-05,0.000131,"POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]"
"K02328",0,0,0,0,5.9e-05,0,3.9e-05,4.6e-05,5.1e-05,5.1e-05,6.2e-05,3.3e-05,0.000104,0,0,0,0,9e-06,0,0,0,0,0,0,0,6e-06,0,0,0,0,"POLD2; DNA polymerase delta subunit 2"
"K02330",2e-05,2e-06,0,0,2.8e-05,5e-06,3.1e-05,3.5e-05,3.1e-05,4.6e-05,3.5e-05,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLB; DNA polymerase beta [EC:2.7.7.7 4.2.99.-]"
"K02331",0,0,0,0,0,0,3e-05,5.7e-05,3.7e-05,5e-05,4.8e-05,4.1e-05,4e-06,0,0,0.000306,0,0,0,0,0,0.00019,0,1e-06,0,0,0,0,0,0,"POL5, MYBBP1A; DNA polymerase phi [EC:2.7.7.7]"
"K02332",9.8e-05,0,3.1e-05,2.9e-05,2.8e-05,3.1e-05,4.6e-05,5.3e-05,6e-05,7.6e-05,7.3e-05,6.1e-05,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,0.000217,0.000271,0.000138,2.4e-05,0.00021,0.000376,"POLG; DNA polymerase gamma 1 [EC:2.7.7.7]"
"K02333",0,0,0,0,1e-06,0,1.3e-05,2.8e-05,4e-05,4.8e-05,4.1e-05,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLG2; DNA polymerase gamma 2"
"K02334",0.032371,0.0276,0.013964,0.046927,0.02065,0.024723,0.001226,0.000756,0.000845,0.00071,0.000633,0.000588,0.008727,0.006025,0.000908,0.023143,0.027181,0.004943,0.007731,0.004738,0.015072,0.006798,0.007625,0.0023,0.007389,0.002591,0.004337,0.001263,0.006127,0.008638,"dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]"
"K02335",0.029319,0.017402,0.023563,0.035442,0.016627,0.024614,0.003805,0.003166,0.003038,0.003029,0.002603,0.003006,0.005753,0.002794,0.001557,0.008825,0.0179,0.00744,0.005384,0.009587,0.052219,7e-04,0.000849,0.002005,0.032781,0.026799,0.021646,0.026063,0.083784,0.022721,"polA; DNA polymerase I [EC:2.7.7.7]"
"K02336",0.000307,0.000306,0.000207,0.000204,0.000171,0.000187,9.2e-05,0.000124,0.000125,0.000101,9.4e-05,8.3e-05,5.3e-05,5.3e-05,7e-06,8.2e-05,0,3.4e-05,6.7e-05,4.5e-05,8.6e-05,1.2e-05,3.3e-05,0,0.000117,0.001002,0.001992,0.007048,0.008231,0.000163,"polB; DNA polymerase II [EC:2.7.7.7]"
"K02337",0.00752,0.005716,0.006355,0.007275,0.007133,0.007054,0.003353,0.00294,0.003083,0.003282,0.002752,0.002956,0.001179,0.005229,0.001351,0.002607,0.003713,0.003036,0.074843,0.006982,0.021176,0.015411,0.018124,0.012428,0.126068,0.075735,0.130936,0.110117,0.090044,0.127149,"dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]"
"K02338",0.008555,0.002026,0.005038,0.005923,0.006353,0.007386,0.001782,0.001425,0.001451,0.00123,0.001162,0.001417,0.001075,0.000868,0.004369,0.001753,0.001193,0.00066,0.000794,0.000323,0.000235,0.000286,0.000432,0.000606,0.001025,0.000338,0.00046,0.000291,0.000477,0.001192,"dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]"
"K02339",3.3e-05,3.8e-05,3.1e-05,8e-06,2.5e-05,2e-05,2.1e-05,1.2e-05,1.7e-05,8e-06,1.5e-05,1.1e-05,5.8e-05,0,0,0.000161,0,0,5e-05,0,0.000384,2.2e-05,1.1e-05,0,8e-06,0,8e-06,0,0,6.5e-05,"holC; DNA polymerase III subunit chi [EC:2.7.7.7]"
"K02340",0.000224,0.000336,0.000373,0.000319,0.000405,0.000385,0.000468,0.000393,0.000417,0.00037,0.000418,0.00043,0.00039,0.000637,0.001797,0.000279,0,0.000613,0.000589,0.00011,0.000146,0.000258,0.000394,0.000269,3.3e-05,6.6e-05,1.5e-05,2.4e-05,5e-06,1.6e-05,"holA; DNA polymerase III subunit delta [EC:2.7.7.7]"
"K02341",0.000344,0.000201,0.000301,0.000272,0.000477,0.000558,0.000475,0.000485,0.00047,0.000416,0.00044,0.000517,0.000349,0.000796,0.000227,0.000331,0,2e-04,2.2e-05,0.000243,0.000192,0.000332,0.00041,0.000557,0.000167,0.000304,4.6e-05,7.9e-05,7.2e-05,8.2e-05,"holB; DNA polymerase III subunit delta' [EC:2.7.7.7]"
"K02342",0.000821,0.00057,0.000446,0.00071,0.000909,0.00078,0.001013,0.001042,0.001009,0.000799,0.000885,0.001077,0.001292,0.000596,0.00013,0.000826,0.000398,0.000484,0.000503,0.001296,0.000897,0.000558,0.000602,0.000565,0.000458,0.00088,0.000736,0.002562,0.004996,0.000229,"dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]"
"K02343",0.00067,0.000678,0.000508,0.000805,0.000845,0.000724,0.000948,0.000834,0.000902,0.000762,0.000788,0.000861,0.000447,0.00118,0.000385,0.000882,0,0.00188,2.6e-05,0.000546,3.3e-05,0.000433,0.000574,0.0016,0.000242,0.000531,1e-04,0.000158,0.000286,0.000269,"dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]"
"K02345",3.6e-05,6e-06,3.1e-05,2.9e-05,1.3e-05,6.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"holE; DNA polymerase III subunit theta [EC:2.7.7.7]"
"K02346",0.00032,0.000291,0.000425,0.000287,0.000584,0.000519,0.000598,0.000584,0.000555,0.000471,0.000475,0.000523,0.00089,0.000459,0.000273,0.000597,0,0.000724,0.000114,0.000718,8.9e-05,0.000188,0.000277,0.000459,5e-05,1.7e-05,8.4e-05,2.4e-05,9.1e-05,4.9e-05,"dinB; DNA polymerase IV [EC:2.7.7.7]"
"K02347",0.000128,0.000103,0.00028,9.6e-05,0.000308,0.00021,0.00023,0.000154,0.000169,0.000159,0.000127,0.00014,0.000465,7.1e-05,2.9e-05,0.000157,0,9e-06,0,0,0,0.000135,0.000175,3.7e-05,3.3e-05,1.7e-05,8e-06,1.8e-05,0,8e-06,"polX, dpx; DNA polymerase (family X)"
"K02348",1.1e-05,2e-06,4.1e-05,5.7e-05,1.1e-05,2.1e-05,2.1e-05,1.7e-05,2.2e-05,2.1e-05,1.3e-05,1.2e-05,6e-06,0.000459,2e-04,1.2e-05,0,0.000194,0,0.000217,0.000112,9.6e-05,0.000119,0.000158,8e-06,8.9e-05,0,2.4e-05,0,0,"elaA; ElaA protein"
"K02349",0.000665,0.000359,0.000114,0.000347,0.000305,0.000217,0.000121,0.000158,0.00014,0.000194,0.000158,0.000112,0.000662,1.5e-05,2.2e-05,4.5e-05,0,0,0,0,0,7e-06,3.1e-05,0,0.000175,5e-05,7.7e-05,1.8e-05,8.6e-05,0.000114,"POLQ; DNA polymerase theta [EC:2.7.7.7]"
"K02350",0.000217,1.3e-05,2.1e-05,0,7.2e-05,1.2e-05,5.2e-05,7.7e-05,7.2e-05,0.00013,9.1e-05,8e-05,4.4e-05,0,0,1.8e-05,0,0.000139,0,0,0,0,0,0,1.7e-05,5e-05,0,0,0,0,"REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]"
"K02351",3e-05,0.000131,1e-05,1.5e-05,7.5e-05,2.4e-05,0.00068,0.000672,0.000609,0.000515,0.000527,0.000715,0.000146,4e-06,2e-06,8.9e-05,0,2.8e-05,8.2e-05,2e-06,1e-05,0.000111,0.000145,0,0,0,0,6e-06,1.9e-05,0,"K02351; putative membrane protein"
"K02353",0,0,0,0,1e-06,0,5.4e-05,8.4e-05,8.3e-05,0.000108,0.000107,8.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DVL; segment polarity protein dishevelled"
"K02355",0.00078,0.001226,0.000985,0.000816,0.001249,0.000912,0.002173,0.002169,0.002193,0.001832,0.00218,0.002141,0.001578,0.003044,0.001762,0.000878,0.000398,0.003375,0.000326,0.001515,0.001032,0.001596,0.001639,0.002606,0.000275,0.000853,0.000245,0.000395,0.000606,0.000596,"fusA, GFM, EFG; elongation factor G"
"K02356",0.000176,0.000557,0.000197,0.000191,0.000235,0.000308,0.000343,0.000352,0.000298,0.000268,0.000304,0.000329,0.000378,0.00017,0.002589,0.000356,0.000928,0.000253,1.9e-05,8.1e-05,1.7e-05,9.1e-05,8.3e-05,0.000187,4.2e-05,0.000166,3.8e-05,5.5e-05,9.5e-05,5.7e-05,"efp; elongation factor P"
"K02357",0.000348,0.000458,0.00028,0.000318,0.000333,0.000298,0.00043,0.000451,0.000395,0.000402,0.000419,0.000455,0.000395,0.000327,0.004419,0.000364,0,0.001569,0.000164,0.000387,0.000185,0.000176,0.00022,0.000319,8e-06,8.9e-05,2.3e-05,6.7e-05,0.000134,9.8e-05,"tsf, TSFM; elongation factor Ts"
"K02358",0.000497,0.000426,0.000487,0.000392,0.000607,0.00051,0.000999,0.000955,0.000953,0.000917,0.000901,0.000872,0.000926,0.000781,0.000561,0.000623,0.001724,0.000256,0.000671,0.001643,0.000394,0.00194,0.002278,0.001264,0.000192,0.000758,0.000314,0.000364,0.000291,0.000359,"tuf, TUFM; elongation factor Tu"
"K02359",0,0,2.1e-05,0,0,0,1.6e-05,4e-05,3.3e-05,4.8e-05,3.8e-05,1.5e-05,0,1e-06,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,6e-06,0,0,"EGH; egghead protein (zeste-white 4 protein)"
"K02361",4e-06,2e-06,0,3e-06,2e-06,1.5e-05,7.7e-05,4.4e-05,4.8e-05,5.7e-05,2.6e-05,4.6e-05,3e-06,0,0,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entC; isochorismate synthase [EC:5.4.4.2]"
"K02362",0,0,0,0,0,0,4e-06,1e-06,2e-06,2e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]"
"K02363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,"entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]"
"K02364",0,0,0,0,0,0,2e-06,0,0,2e-06,3e-06,1e-06,0,0,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entF; enterobactin synthetase component F [EC:6.3.2.14]"
"K02365",0,0,0,2e-05,1.3e-05,0,3e-05,2.6e-05,3.5e-05,5.4e-05,3.5e-05,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESP1; separase [EC:3.4.22.49]"
"K02366",0,0,0,3e-06,7e-06,0,3.2e-05,3.9e-05,3.3e-05,7e-05,5.5e-05,4.8e-05,0,0,0,8.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EXT1; glucuronyl/N-acetylglucosaminyl transferase EXT1 [EC:2.4.1.224 2.4.1.225]"
"K02367",0,0,0,0,0,0,9e-06,9e-06,1.4e-05,1.1e-05,8e-06,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EXT2; glucuronyl/N-acetylglucosaminyl transferase EXT2 [EC:2.4.1.224 2.4.1.225]"
"K02370",0,0,0,0,6e-06,0,4.7e-05,7.8e-05,6.8e-05,0.000107,0.000126,7e-05,0,0,0,2.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EXTL3; alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]"
"K02371",1.3e-05,0.000108,0.000187,0.000122,5.1e-05,9.4e-05,2.1e-05,2e-05,1.9e-05,2.9e-05,1.9e-05,1.5e-05,6e-06,0.000258,6.4e-05,1.8e-05,0,3e-06,2.8e-05,0.000256,0.000212,0.000725,0.000854,0.000464,1.7e-05,6.6e-05,2.3e-05,5.5e-05,2.4e-05,4.1e-05,"fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]"
"K02372",0.000195,0.000154,0.000228,0.000106,0.000241,0.000217,0.000175,0.000157,0.000146,9.3e-05,0.000118,0.000137,0.000225,0.000204,4e-05,0.000257,0,0.000663,9.5e-05,7.3e-05,0.000159,0.000265,0.000333,0.000216,9.2e-05,0.000127,6.1e-05,5.5e-05,3.3e-05,0.000106,"fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"K02374",0,0,0,0,0,0,0,6e-06,5e-06,2e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K02375",0,0,0,0,6e-06,0,5.2e-05,6.5e-05,8.5e-05,0.00013,9.6e-05,7.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FZD5_8, fz2; frizzled 5/8"
